dataset_name,display_name,IoU,F1,Precision,Recall,OA
Zhengzhou,HA-CQI,73.38,84.65,80.65,89.06,99.57
Zhuozhou,HA-CQI,86.23,92.61,96.61,88.92,98.74
Zhengzhou,ChangeDINO,33.65,50.35,54.17,47.03,98.76
Zhuozhou,ChangeDINO,71.72,83.53,87.53,79.88,97.2
Zhengzhou,BIT,54.72,70.73,74.73,67.14,99.26
Zhuozhou,BIT,72.23,83.88,87.88,80.23,97.26
Zhengzhou,FC-Siam-Diff,62.59,76.99,80.05,74.16,99.41
Zhuozhou,FC-Siam-Diff,70.87,82.95,86.95,79.3,97.11
Zhengzhou,CGNet,62.76,77.12,73.12,81.58,99.35
Zhuozhou,CGNet,82.2,90.23,94.23,86.56,98.34
Zhengzhou,ChangeFormer,50.99,67.54,71.54,63.97,99.18
Zhuozhou,ChangeFormer,67.21,80.39,84.39,76.75,96.68
Zhengzhou,HANet,49.1,65.86,61.86,70.41,99.03
Zhuozhou,HANet,62.95,77.26,81.26,73.63,96.15
Zhengzhou,SNUNet,50.39,67.01,71.01,63.44,99.17
Zhuozhou,SNUNet,70.09,82.41,86.41,78.77,97.02
Zhengzhou,TTP-ViT-SAM-B,54.44,70.5,74.5,66.91,99.25
Zhuozhou,TTP-ViT-SAM-B,79.59,88.63,92.63,84.96,98.07
